Project,Group,Connections,Twitter,Image,Popup
BioDAO,#F3587D,6,biodaoxyz,https://pbs.twimg.com/profile_images/1485042580177907714/n0Inv55w_normal.jpg,"<strong>BioDAO</strong> | <a href=""https://twitter.com/BioDAOxyz"">@BioDAOxyz</a><p>The global biotech ecosystem enabled by Web3<br>Notion: https://t.co/yjYfmg3dnf<br>https://t.co/NskNkhRbtg </p><a href=""https://t.co/7y7XHMYAuZ"">biodao.xyz</a>"
Blockchain for Climate foundation,#02E2AC,34,blockforclimate,https://pbs.twimg.com/profile_images/1455859963889213445/x8wXr7Oh_normal.jpg,"<strong>Blockchain for Climate Foundation</strong> | <a href=""https://twitter.com/BlockForClimate"">@BlockForClimate</a><p>Putting the Paris Agreement on #Ethereum w/ #NFTs. Enabling international collaboration on climate action by connecting national carbon accounts of the world. </p><a href=""https://t.co/gnTH9octzV"">blockchainforclimate.org/news</a>"
Blood M1n3,#02E2AC,41,bloodm1n3,https://pbs.twimg.com/profile_images/1491776089915637764/-30DXuWW_normal.jpg,"<strong>bloodmine.eth 🛰️</strong> | <a href=""https://twitter.com/bloodm1n3"">@bloodm1n3</a><p>🛰️ Mapping the world's illegal mines on Web3<br><br>@sosorinoco<br><br>#ARACAMUNI is our first #NFTCollection. #CANAIMA<br><br> 🛰️  Discord: https://t.co/N9NuhTKX9b </p><a href=""https://t.co/uxu8uVSCPE"">bloodmines.xyz</a>"
Bloom Network,#4D82C1,32,ourbloomnetwork,https://pbs.twimg.com/profile_images/1235620460685144064/1JdpOTwL_normal.jpg,"<strong>Bloom Network</strong> | <a href=""https://twitter.com/OurBloomNetwork"">@OurBloomNetwork</a><p>International community of regenerative culture makers, producing local events and actions, and collaborating virtually. </p><a href=""https://t.co/bZGKeADLSb"">bloomnetwork.org</a>"
Bloomeria,#02E2AC,35,bloomeria_dao,https://pbs.twimg.com/profile_images/1355088367013212161/aLWrVK0j_normal.jpg,"<strong>Bloomeria</strong> | <a href=""https://twitter.com/bloomeria_dao"">@bloomeria_dao</a><p>A #DAO to help #communities safeguard green areas.<br>#Cryptocurrency | #Fundraising | #NFTs | #CO2offseteconomy <br>@KERNEL0x alumni </p><a href=""https://t.co/3KYBUG34Lk"">bloomeria.org</a>"
Brokoli,#02E2AC,2,brokolinetwork,https://pbs.twimg.com/profile_images/1430617946167066626/PR2b57fF_normal.jpg,"<strong>Brokoli Network™ - The Green Metaverse 🌳</strong> | <a href=""https://twitter.com/BrokoliNetwork"">@BrokoliNetwork</a><p>Built ⤵️<br><br>🟢 Green trading 🟢 Green IDOs 🟢 Green Integrations 🟢 Green NFTs 🟢 <br><br>Green Metaverse 🔜<br><br>Powered by $BRKL<br><br>TG: https://t.co/CTqvjHIqec<br><br>#impact2earn </p><a href=""https://t.co/eM3IA3us1z"">brokoli.network</a>"
Cabin,#F3587D,19,creatorcabins,https://pbs.twimg.com/profile_images/1458804832551247877/z8CMVDb8_normal.jpg,"<strong>Cabin</strong> | <a href=""https://twitter.com/creatorcabins"">@creatorcabins</a><p>🏡 a community of cabins for web3 workers 🌐 a DAO retreat & residency program 🌆 an experiment in decentralized cities || https://t.co/OQklH4Gp7m </p><a href=""https://t.co/lnsokZYTlo"">linktr.ee/creatorcabins</a>"
Carbon Captors ,#02E2AC,41,carboncaptors,https://pbs.twimg.com/profile_images/1496818455219216390/UwZ0CVsQ_normal.jpg,"<strong>Carbon Captors ( 💨🌳)</strong> | <a href=""https://twitter.com/CarbonCaptors"">@CarbonCaptors</a><p>Leveraging the power of Web3 and DAOs to become the fund for Carbon Capture engineered & nature based solutions. #CarbonCaptors </p><a href=""https://t.co/HORyFJPPXS"">carboncaptors.xyz</a>"
Carbon Collectible NFTs,#02E2AC,27,carbonoffsetnft,https://pbs.twimg.com/profile_images/1518382217432485888/-VpdsiGt_normal.jpg,"<strong>Carbon Collectible NFTs</strong> | <a href=""https://twitter.com/CarbonOffsetNFT"">@CarbonOffsetNFT</a><p>We use #NFTs & regenerative finance to transform environment and social impact into a liquid asset.<br>#Web3, #ReFi, #DeFi, #SocialImpact, #CarbonOffset, #ML, #AI </p><a href=""https://t.co/erGleTLVi0"">ccNFTs.io</a>"
Celo,#02E2AC,40,celoorg,https://pbs.twimg.com/profile_images/1493309659599486986/5ETdHxeE_normal.jpg,"<strong>Celo</strong> | <a href=""https://twitter.com/CeloOrg"">@CeloOrg</a><p>Creating the conditions for prosperity—for everyone. </p><a href=""https://t.co/BujBmV2vWV"">celo.org</a>"
